Time(min),Cr,Ctreal
1.85,0,0
1.883333333,0,0
1.916666667,0,0
1.95,0,0
1.983333333,0.100355123,0.492418061
2.016666667,1.287215929,2.729639985
2.05,3.203155447,4.152748891
2.083333333,7.204742217,6.852869263
2.116666667,10.09724105,9.073288423
2.15,14.8613222,10.73140274
2.183333333,16.71932961,15.60225061
2.216666667,21.85894489,21.35800164
2.25,24.44458911,23.64093451
2.283333333,25.65895213,24.06714403
2.316666667,28.9281137,23.10369296
2.35,26.66277839,31.55997297
2.383333333,29.1774493,28.79700207
2.416666667,26.3650362,26.58657241
2.45,27.15974268,29.61722967
2.483333333,27.86106412,29.12154043
2.516666667,27.20916195,26.22514821
2.55,27.97282766,29.39104056
2.583333333,28.28267653,28.33134914
2.616666667,26.58982953,23.88817066
2.65,28.42894878,31.13190744
2.683333333,25.34696337,29.53334296
2.716666667,27.37291328,32.94512662
2.75,27.84058553,33.07394371
2.783333333,28.30367399,32.98642679
2.816666667,25.32313612,32.14529311
2.85,26.93950518,33.42220542
2.883333333,26.12324099,32.32911839
2.916666667,28.43604542,31.67824445
2.975,26.98603986,30.24006628
3.058333333,26.73385943,32.7919755
3.141666667,26.12707334,31.35835422
3.225,27.06747568,32.36343001
3.308333333,26.38311985,33.83096195
3.391666667,25.35968477,31.73698962
3.475,25.93891846,35.62131478
3.558333333,25.16924499,31.38187076
3.641666667,25.16556247,33.99331394
3.725,24.88312012,34.98321051
3.808333333,24.21869445,35.28900692
3.891666667,24.56239236,35.62677037
3.975,24.13772293,34.91757084
4.058333333,23.78787296,33.75949064
4.141666667,23.95270144,35.39279813
4.225,23.18212155,32.97976793
4.308333333,22.39948116,34.589051
4.391666667,22.45311434,32.17938117
4.475,22.0528214,37.48361842
4.558333333,23.00734707,36.74674841
4.641666667,22.02853921,37.62014705
4.725,21.94115075,37.26548709
4.808333333,21.8712881,34.80740574
4.891666667,22.08805235,34.91782191
5.433333333,20.2277876,37.09792405
6.433333333,18.32203931,39.07513895
7.433333333,16.77568329,42.3996685
8.433333333,15.67636289,41.80801356
9.433333333,14.38775084,44.62975271
10.43333333,13.36863035,44.54477702
11.43333333,12.73630204,44.49427394
12.43333333,11.78937581,45.88802158
13.43333333,11.05054944,46.61007583
14.43333333,10.61376553,46.09996098
15.43333333,9.832685057,46.48573085
16.43333333,9.139137444,47.54604574
17.43333333,8.722921728,47.66193551
18.43333333,8.40870008,46.33653585
19.43333333,8.01200535,45.94860585
20.43333333,7.556243657,44.63813098
21.43333333,7.365215544,46.27219874
22.43333333,6.768754474,46.41883871
23.43333333,6.548651552,44.54710365
24.43333333,6.283400966,47.14810471
26.43333333,5.755603554,44.99113526
29.43333333,5.107231866,43.24913724
32.43333333,4.539065877,42.45599576
35.43333333,4.092982537,41.88989767
38.43333333,3.745289758,39.52341385
41.43333333,3.335189331,36.48512042
44.43333333,3.078831675,36.56646403
47.43333333,2.843055859,34.92103769
50.43333333,2.530505926,33.44681262
53.43333333,2.25612106,31.59560884
56.43333333,2.136384147,28.84858043
59.43333333,2.026639638,28.25569471
63.43333333,1.817507314,24.11164429
68.43333333,1.691410304,20.74101236
73.43333333,1.362634525,20.27491447
